date,ABF MALAYSIA BOND INDEX FUND
2019-02-26,0.0008576329331047273
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,0.002570694087403506
2019-03-12,0.0
2019-03-13,0.001709401709401711
2019-03-14,0.0008532423208192082
2019-03-15,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.0
2019-03-25,0.0
2019-03-26,0.005115089514066501
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,0.002544529262086422
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0025380710659899442
2019-04-11,0.0
2019-04-12,0.0
